Model,Top1_Accuracy,Top5_Accuracy
YOLO11n,0.0,0.0
YOLO11m,0.0,0.0
YOLO11l,0.0,0.0
YOLO11x,0.9005,0.9834
YOLOv8n,0.0,0.0
YOLOv8m,0.0,0.0
YOLOv8l,0.9132,0.9834
YOLOv8x,0.9043,0.9859
